accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,label
29,1,4.745402,paypal,28.2048611111,0
725,1,4.742303,storecredit,0.0,0
845,1,4.921318,creditcard,0.0,0
503,1,4.886641,creditcard,0.0,0
2000,1,5.040929,creditcard,0.0,0
119,1,4.962055,paypal,0.0,0
2000,1,4.921349,paypal,0.0,0
371,1,4.876771,creditcard,0.0,0
2000,1,4.748314,creditcard,0.0,0
4,1,4.461622,creditcard,0.0,0
26,1,4.745402,paypal,0.0,0
2000,1,4.505662,creditcard,0.000694444444444,0
3,1,4.962055,creditcard,2.69097222222,0
3,1,4.921318,creditcard,2.06944444444,0
23,1,4.745402,creditcard,0.00138888888889,0
5,1,4.921349,paypal,4.03611111111,0
1208,1,4.836982,creditcard,0.000694444444444,0
11,1,4.921349,creditcard,10.8659722222,0
123,1,4.748314,creditcard,0.000694444444444,0
2000,1,4.895263,creditcard,248.774305556,0
1672,1,5.034622,creditcard,978.752777778,0
36,1,4.742303,creditcard,0.0145833333333,0
16,1,4.886641,creditcard,15.7965277778,0
278,1,5.034622,creditcard,6.89236111111,0
223,1,4.748314,creditcard,0.0,0
30,1,4.057414,creditcard,0.0,0
2,1,4.921349,creditcard,0.0,0
2000,1,3.483951,creditcard,503.425,0
1936,1,4.057414,creditcard,635.641666667,0
2000,1,4.921318,creditcard,948.806944444,0
2,1,4.505662,creditcard,1.20347222222,0
2000,1,4.836982,creditcard,0.00138888888889,0
998,1,4.921318,creditcard,0.0,0
914,1,4.461622,creditcard,0.00555555555556,0
23,1,2.596228,creditcard,0.000694444444444,0
2000,1,5.017904,creditcard,0.0,0
2,1,4.836982,creditcard,1.69722222222,0
19,1,4.505662,paypal,0.0,0
18,1,4.965339,creditcard,0.0,0
1562,1,4.505662,creditcard,981.346527778,0
288,1,4.748314,paypal,0.0,0
310,1,4.965339,creditcard,96.9423611111,0
2,1,4.921318,creditcard,0.0,0
2000,1,4.965339,storecredit,0.0,0
2,1,5.034622,creditcard,1.09791666667,0
2000,1,4.52458,paypal,0.00486111111111,0
1144,1,4.876771,creditcard,1142.90625,0
1743,1,4.836982,creditcard,367.813888889,0
817,1,4.962055,creditcard,0.00347222222222,0
2000,1,4.742303,creditcard,0.00694444444444,0
179,1,4.921318,storecredit,0.0,0
2000,1,4.886641,storecredit,212.140277778,0
204,1,4.886641,creditcard,0.0354166666667,0
2000,1,4.748314,paypal,641.321527778,0
2000,1,4.965339,creditcard,348.305555556,0
546,1,4.895263,paypal,0.000694444444444,0
2000,1,4.921318,paypal,597.16875,0
1409,1,4.962055,creditcard,0.00277777777778,0
210,1,4.876771,creditcard,0.0,0
2000,1,4.745402,paypal,1034.67152778,0
107,1,4.962055,creditcard,4.10555555556,0
406,1,4.836982,creditcard,405.136111111,0
34,1,4.962055,creditcard,33.9111111111,0
200,1,2.94894,creditcard,199.620833333,0
638,1,4.962055,creditcard,0.00138888888889,0
32,1,4.057414,paypal,23.4333333333,0
684,1,4.965339,paypal,316.036805556,0
2000,1,4.52458,creditcard,708.970833333,0
1657,1,4.921318,creditcard,26.2222222222,0
1133,1,4.921349,creditcard,65.85625,0
4,1,5.017904,creditcard,3.36597222222,0
599,1,4.962055,creditcard,0.0,0
2000,1,5.034622,paypal,544.96875,0
162,2,4.748314,creditcard,161.954861111,0
1407,1,4.962055,creditcard,0.0,0
2000,1,4.505662,creditcard,0.0,0
535,1,4.742303,creditcard,37.4270833333,0
735,1,4.748314,creditcard,0.0,0
1657,1,3.066058,paypal,244.559722222,0
3,1,4.876771,creditcard,2.77777777778,0
1397,1,4.748314,creditcard,342.889583333,0
222,1,4.921318,creditcard,221.259027778,0
913,1,4.895263,creditcard,0.0,0
1843,1,5.040929,creditcard,0.208333333333,0
19,1,4.886641,creditcard,0.00138888888889,0
2000,1,5.017904,creditcard,225.318055556,0
2000,1,4.742303,paypal,259.127777778,0
1014,1,4.965339,creditcard,666.010416667,0
2000,1,4.748314,creditcard,0.0,0
964,1,4.876771,creditcard,0.0,0
66,1,4.745402,paypal,0.954166666667,0
544,1,4.965339,paypal,0.0,0
1866,1,4.742303,paypal,145.461111111,0
2000,1,3.575983,creditcard,777.126388889,0
601,1,3.954522,creditcard,0.0,0
